2018,C0,C1,C2,C3,C4
age_<20_Confirmed (%),11.1,6.29,19.65,7.13,11.98
age_20-29_count,3110.0,1782.0,5314.0,1720.0,4753.0
age_20-29_count (/10K pop),204.25,130.41,372.59,83.54,214.69
age_20-29_tested,25048.0,22571.0,28784.0,25389.0,37440.0
age_20-29_tested (/10K pop),1644.99,1651.79,2018.2,1233.16,1691.16
age_20-29_Confirmed (%),12.42,7.9,18.46,6.77,12.69
age_30-39_count,3391.0,1728.0,5193.0,1714.0,4896.0
age_30-39_count (/10K pop),264.17,106.83,395.0,93.68,194.13
age_30-39_tested,27271.0,24002.0,26444.0,29241.0,41406.0
age_30-39_tested (/10K pop),2124.52,1483.85,2011.44,1598.24,1641.82
age_30-39_Confirmed (%),12.43,7.2,19.64,5.86,11.82
age_40-49_count,3622.0,1956.0,5766.0,1301.0,5123.0
age_40-49_count (/10K pop),276.64,99.01,501.69,135.9,233.8
age_40-49_tested,28819.0,25833.0,25585.0,15741.0,38820.0
age_40-49_tested (/10K pop),2201.15,1307.61,2226.1,1644.26,1771.66
age_40-49_Confirmed (%),12.57,7.57,22.54,8.27,13.2
age_50-59_count,3717.0,2201.0,4747.0,1463.0,4927.0
age_50-59_count (/10K pop),262.06,97.46,495.28,182.97,217.96
age_50-59_tested,35050.0,31435.0,22842.0,16016.0,41116.0
age_50-59_tested (/10K pop),2471.11,1391.93,2383.25,2003.03,1818.87
age_50-59_Confirmed (%),10.6,7.0,20.78,9.13,11.98
age_60-69_count,2965.0,1709.0,2673.0,1219.0,3564.0
age_60-69_count (/10K pop),264.43,92.81,376.5,188.01,197.21
age_60-69_tested,33096.0,29103.0,16144.0,15050.0,36935.0
age_60-69_tested (/10K pop),2951.65,1580.52,2273.93,2321.24,2043.71
age_60-69_Confirmed (%),8.96,5.87,16.56,8.1,9.65
age_70-79_count,1807.0,1223.0,1105.0,814.0,1777.0
age_70-79_count (/10K pop),277.68,117.39,298.19,228.86,184.32
age_70-79_tested,19412.0,20351.0,7753.0,10215.0,21126.0
age_70-79_tested (/10K pop),2983.07,1953.37,2092.18,2871.96,2191.31
age_70-79_Confirmed (%),9.31,6.01,14.25,7.97,8.41
age_80+_count,1264.0,1822.0,568.0,758.0,2091.0
age_80+_count (/10K pop),325.5,260.72,312.36,386.1,319.7
age_80+_tested,11389.0,22107.0,4782.0,7628.0,21198.0
age_80+_Confirmed (%),11.1,8.24,11.88,9.94,9.86
gender_male_count,9476.0,6230.0,13822.0,4762.0,13932.0
gender_male_tested,81126.0,78392.0,67008.0,54353.0,109114.0
gender_male_Confirmed (%),11.68,7.95,20.63,8.76,12.77
gender_female_count,11408.0,6942.0,13618.0,4446.0,14715.0
gender_female_tested,105810.0,102516.0,74251.0,65304.0,136444.0
gender_female_Confirmed (%),10.78,6.77,18.34,6.81,10.78
gender_unkown_count,381.0,135.0,480.0,220.0,402.0
gender_unkown_tested,6037.0,8084.0,4159.0,4896.0,8787.0
gender_unkown_Confirmed (%),6.31,1.67,11.54,4.49,4.57
