geoid,total_count,total_tested,race_White_count,race_White_tested,race_Asian_count,race_Asian_tested,race_Hispanic_count,race_Hispanic_tested,race_Black_count,race_Black_tested,race_NH/PI*_count,race_NH/PI*_tested,race_AI/AN**_count,race_AI/AN**_tested,race_unkown_count,race_unkown_tested,race_other_count,race_other_tested,age_<20_count,age_<20_tested,age_20-29_count,age_20-29_tested,age_30-39_count,age_30-39_tested,age_40-49_count,age_40-49_tested,age_50-59_count,age_50-59_tested,age_60-69_count,age_60-69_tested,age_70-79_count,age_70-79_tested,age_80+_count,age_80+_tested,age_Unknown_count,age_Unknown_tested,gender_male_count,gender_male_tested,gender_female_count,gender_female_tested,gender_unkown_count,gender_unkown_tested
1760491,171,1824,0,0,6,96,25,262,25,254,35,242,38,288,28,362,8,172,6,147,89,751,9,21,61,940,0,64,0,12,0,35,0,0,0,0,96,810,75,982,0,32
1760016,1162,8630,0,13,63,370,168,1325,189,1269,177,1233,214,1552,188,1393,74,773,88,702,258,1943,53,191,321,4596,114,530,185,668,216,612,7,51,8,39,558,3498,576,4582,28,550
1760077,438,4148,0,7,22,191,91,681,59,504,73,670,74,753,65,725,34,353,20,264,101,920,29,169,75,1913,75,483,76,399,69,211,11,43,0,10,205,1647,230,2421,0,80
1760026,167,2939,0,13,0,176,17,334,13,292,20,410,25,420,13,430,21,277,53,587,74,744,0,23,35,1839,16,124,24,106,13,88,0,10,0,0,52,651,101,1011,14,1277
1760487,179,2332,0,0,7,177,26,318,34,358,34,396,30,479,32,355,10,166,6,83,74,754,10,78,69,1323,6,73,12,60,6,41,0,0,0,0,91,1034,86,1266,0,32
1760439,129,2297,0,0,6,137,16,250,17,267,25,278,19,389,11,362,13,277,22,336,65,1051,0,18,49,1098,8,67,0,18,6,43,0,0,0,0,53,973,75,1286,0,38
1760176,181,1286,0,0,17,110,43,233,28,207,31,219,33,191,18,200,7,65,0,58,49,389,0,15,42,558,9,65,11,25,62,227,0,6,0,0,95,609,83,652,0,25
1760707,856,7112,0,6,52,400,144,1078,130,992,151,1158,169,1287,111,1164,60,674,39,353,198,1979,72,469,180,2738,44,355,17,77,339,1452,0,36,0,6,388,3025,452,3942,16,145
1760526,98,3221,0,6,7,139,14,336,14,319,18,327,7,341,6,379,6,298,26,1076,56,1183,0,47,22,1789,7,94,0,12,11,94,0,0,0,0,48,1126,50,1877,0,218
1760104,455,3226,0,0,35,180,54,506,83,468,84,524,93,607,51,493,42,333,13,112,25,264,220,1386,87,1128,16,115,0,7,101,323,0,0,0,0,226,1374,223,1760,6,92
1760827,407,3658,0,0,20,270,70,610,86,530,77,562,73,668,50,590,18,312,13,114,9,54,276,1722,98,1796,10,49,0,0,13,33,0,0,0,0,160,1395,243,2175,0,88
1760426,528,4853,0,0,46,374,99,670,85,729,92,732,91,906,58,795,41,440,16,203,10,180,240,1936,171,2356,13,98,0,9,91,256,0,0,0,17,267,2257,256,2491,0,105
1760425,192,2089,0,0,13,78,18,191,18,203,28,289,41,408,37,468,22,260,15,187,29,252,77,625,74,1158,0,19,0,0,8,29,0,0,0,6,103,889,88,1083,0,117
1760628,1219,10605,0,0,61,614,159,1262,141,1187,187,1490,227,2038,188,1892,157,1362,99,755,18,128,823,5473,268,4740,48,99,0,16,55,142,0,0,0,6,524,4365,675,5959,20,281
1760621,590,5096,0,7,30,356,82,730,102,679,76,652,106,964,94,995,58,423,42,290,9,77,442,2970,96,1872,8,54,0,0,30,115,0,0,0,0,264,2323,320,2691,6,82
1760606,39,1229,0,0,0,94,8,269,13,264,6,156,0,177,0,149,0,75,0,45,6,136,6,172,17,855,0,24,0,17,7,21,0,0,0,0,24,745,15,460,0,24
1760615,435,6308,0,0,33,423,73,1127,63,1064,67,775,84,969,55,895,29,640,31,411,34,893,295,2871,74,2175,9,94,6,158,16,110,0,0,0,0,204,2552,228,3673,0,83
1760646,410,4562,0,7,16,264,55,704,33,490,71,735,61,837,59,608,41,466,74,451,150,1561,14,38,136,2233,22,289,27,158,57,253,0,21,0,9,183,2208,191,2178,36,176
1760639,3606,17600,0,14,298,1562,709,3341,698,3441,731,3204,599,2835,356,1993,157,900,58,310,173,1046,229,1131,761,7367,119,675,14,81,2309,7266,0,20,0,14,1779,8269,1797,9075,30,256
1760622,727,8226,0,0,27,373,158,2613,121,1931,99,1007,99,836,83,636,64,459,76,370,164,2107,76,353,140,4309,19,302,9,132,319,1008,0,9,0,6,361,3692,361,4321,0,213
1760610,324,5459,0,0,12,215,56,1153,102,1217,38,481,39,634,36,702,25,661,16,396,114,1824,106,773,63,2513,13,171,9,92,19,82,0,0,0,0,144,2285,179,3136,0,38
1760402,1505,10115,0,16,106,723,264,1812,297,1801,331,1794,246,1703,157,1228,64,621,38,417,214,2490,83,509,301,3449,110,996,12,74,782,2579,0,16,0,0,710,4437,771,5244,24,434
